"","X","Authors","metric","subgroup","group","group_general","tissue","CN","EN","yi","vi","stats","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"1",1,"Cheema & Pluznick 2019","Chao1","Ang II infusion","increased blood pressure (cardiovascular disease model)","drug treatment","fecal",3,3,-1.042547028,0.763879546,"lnCVR","Cheema","no","no","no","no","treatment"
"2",2,"Cheema & Pluznick 2019","Chao1","Control","control","control","fecal",3,3,-0.102735147,0.798325446,"lnCVR","Cheema","no","no","no","no","control"
"3",3,"Ellis et al. 2021","Chao1","13C11MK4","dietary intervention","dietary intervention","cecal",7,7,-0.032953106,0.195504896,"lnCVR","Ellis","no","no","no","yes","treatment"
"4",4,"Ellis et al. 2021","Chao1","2H7MK7","dietary intervention","dietary intervention","cecal",7,7,0.195525249,0.200439152,"lnCVR","Ellis","no","no","no","yes","treatment"
"5",5,"Ellis et al. 2021","Chao1","2H7MK9","dietary intervention","dietary intervention","cecal",7,7,0.948526342,0.200451149,"lnCVR","Ellis","no","no","no","yes","treatment"
"6",6,"Ellis et al. 2021","Chao1","2H7PK","dietary intervention","dietary intervention","cecal",7,7,-0.718673839,0.199268252,"lnCVR","Ellis","no","no","no","yes","treatment"
"7",7,"Ellis et al. 2021","Chao1","Combo","dietary intervention","dietary intervention","cecal",10,9,-0.083310413,0.137215321,"lnCVR","Ellis","no","no","no","yes","treatment"
"8",8,"Ellis et al. 2021","Chao1","Control (unlabeled PK)","control","control","cecal",7,7,-2.167641219,0.213478058,"lnCVR","Ellis","no","no","no","no","control"
"9",9,"Ellis et al. 2021","Chao1","MK4","dietary intervention","dietary intervention","cecal",10,10,0.067128552,0.130074394,"lnCVR","Ellis","no","no","no","yes","treatment"
"10",10,"Ellis et al. 2021","Chao1","MK9","dietary intervention","dietary intervention","cecal",9,9,-0.415175348,0.145847521,"lnCVR","Ellis","no","no","no","yes","treatment"
"11",11,"Ellis et al. 2021","Chao1","PK","dietary intervention","dietary intervention","cecal",10,9,-0.859291347,0.144754064,"lnCVR","Ellis","no","no","no","yes","treatment"
"12",12,"Ellis et al. 2021","Chao1","VKdef","dietary intervention","dietary intervention","cecal",8,9,-0.085902344,0.158129121,"lnCVR","Ellis","no","no","no","yes","treatment"
"13",13,"Gubert et al. 2022","Chao1","R6/1_Enviromental enrichment ","genotype, environmental intervention","genotype, environmental intervention","fecal",8,7,-0.276905063,0.185005165,"lnCVR","Gubert","yes","no","no","no","treatment"
"14",14,"Gubert et al. 2022","Chao1","R6/1_Exercise","genotype, exercise","genotype, exercise","fecal",8,8,0.379662925,0.173141262,"lnCVR","Gubert","yes","no","no","no","treatment"
"15",15,"Gubert et al. 2022","Chao1","R6/1_control","genotype","genotype","fecal",8,8,0.697757182,0.174704752,"lnCVR","Gubert","yes","no","no","no","treatment"
"16",16,"Gubert et al. 2022","Chao1","WT_Enviromental enrichment ","environmental intervention","environmental intervention","fecal",8,8,-0.687386447,0.186897544,"lnCVR","Gubert","no","no","no","no","treatment"
"17",17,"Gubert et al. 2022","Chao1","WT_Exercise","exercise","exercise","fecal",8,8,0.068856501,0.176157391,"lnCVR","Gubert","no","no","no","no","treatment"
"18",18,"Gubert et al. 2022","Chao1","WT_control","control","control","fecal",8,8,0.539711761,0.17842745,"lnCVR","Gubert","no","no","no","no","control"
"19",19,"Ibrahim et al. 2019","Chao1","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,3,0.38159218,0.487448636,"lnCVR","Ibrahim","no","no","yes","no","treatment"
"20",20,"Ibrahim et al. 2019","Chao1","AOM/DSS-ERbKOVil","colitis and inflammatory intervention, genotype, hormonal intervention","colitis and inflammatory intervention, genotype, hormonal intervention","fecal",7,6,-0.123142894,0.222276328,"lnCVR","Ibrahim","yes","yes","yes","no","treatment"
"21",21,"Ibrahim et al. 2019","Chao1","Control","control","control","fecal",4,4,0.191486098,0.460762095,"lnCVR","Ibrahim","no","no","no","no","control"
"22",22,"Ibrahim et al. 2019","Chao1","Control-ERbKOVil","genotype, hormonal intervention","genotype, hormonal intervention","fecal",4,4,-0.186316525,0.466027268,"lnCVR","Ibrahim","yes","yes","no","no","treatment"
"23",23,"Kozik et al. 2019","Chao1","Colitis-cecal","colitis and inflammatory intervention","colitis and inflammatory intervention","cecal",7,7,0.745612614,0.215490813,"lnCVR","Kozik","no","no","yes","no","treatment"
"24",24,"Kozik et al. 2019","Chao1","Colitis-colonMucus","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",5,4,0.614316583,0.416376002,"lnCVR","Kozik","no","no","yes","no","treatment"
"25",25,"Kozik et al. 2019","Chao1","Colitis-colonMucus_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",1,NA,NA,NA,"lnCVR","Kozik","no","no","yes","no","treatment"
"26",26,"Kozik et al. 2019","Chao1","Colitis-fecal","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",5,7,-0.087121606,0.307758306,"lnCVR","Kozik","no","no","yes","no","treatment"
"27",27,"Kozik et al. 2019","Chao1","Colitis-fecal_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,7,-0.483677601,0.230147188,"lnCVR","Kozik","no","no","yes","no","treatment"
"28",28,"Kozik et al. 2019","Chao1","Control-cecal","control","control","cecal",2,3,0.448392918,1.59841438,"lnCVR","Kozik","no","no","no","no","control"
"29",29,"Kozik et al. 2019","Chao1","Control-colonMucus","control","control","colon mucus",NA,3,NA,NA,"lnCVR","Kozik","no","no","no","no","control"
"30",30,"Kozik et al. 2019","Chao1","Control-fecal","control","control","fecal",2,3,-1.182784894,1.401021884,"lnCVR","Kozik","no","no","no","no","control"
"31",31,"Kozik et al. 2019","Chao1","Control-fecal_T0","control","control","fecal",2,3,-2.19036761,1.500728541,"lnCVR","Kozik","no","no","no","no","control"
"32",32,"Li et al. 2020","Chao1","Chow diet + STZ injection+ Distilled water ","dietary intervention, induced type 1 diabetes","dietary intervention, drug treatment","",5,1,NA,NA,"lnCVR","Li","no","no","no","yes","treatment"
"33",33,"Li et al. 2020","Chao1","HFD+ STZ injection + DNJ","dietary intervention (mixed), induced type 1 diabetes","dietary intervention, drug treatment","",1,9,NA,NA,"lnCVR","Li","no","no","no","yes","treatment"
"34",34,"Li et al. 2020","Chao1","HFD+ STZ injection+ Distilled water","dietary intervention (High-fat), induced type 1 diabetes","dietary intervention, drug treatment","",NA,3,NA,NA,"lnCVR","Li","no","no","no","yes","treatment"
"35",35,"Lindheim et al. 2018","Chao1","PRJNA445979","mixed","mixed","fecal",76,93,0.260336186,0.013342446,"lnCVR","Lindheim","no","no","no","no","treatment"
"36",36,"Lyte et al. 2022","Chao1","beef-chow","dietary intervention","dietary intervention","fecal",18,19,-0.143950152,0.070747123,"lnCVR","Lyte","no","no","no","yes","treatment"
"37",37,"Lyte et al. 2022","Chao1","beef-chow-stress","dietary intervention, enviromental intervention","dietary intervention, enviromental intervention","fecal",18,20,0.188216014,0.065366605,"lnCVR","Lyte","no","no","no","yes","treatment"
"38",38,"Lyte et al. 2022","Chao1","chow-control","control","control","fecal",20,19,-0.135078647,0.060879071,"lnCVR","Lyte","no","no","no","no","control"
"39",39,"Lyte et al. 2022","Chao1","chow-stress","enviromental intervention","enviromental intervention","fecal",20,20,0.017348559,0.060874024,"lnCVR","Lyte","no","no","no","no","treatment"
"40",40,"Pizarro et al. 2021","Chao1","EtOH-Syn-T1","dietary intervention_mixed","dietary intervention","fecal",10,8,-0.241055419,0.148637826,"lnCVR","Pizarro","no","no","no","yes","treatment"
"41",41,"Pizarro et al. 2021","Chao1","EtOH-T1","dietary intervention_bad","dietary intervention","fecal",10,8,0.63737249,0.14621728,"lnCVR","Pizarro","no","no","no","yes","treatment"
"42",42,"Pizarro et al. 2021","Chao1","Symbiotic-T0","dietary intervention_good","dietary intervention","fecal",10,8,0.292349023,0.14641042,"lnCVR","Pizarro","no","no","no","yes","treatment"
"43",43,"Pizarro et al. 2021","Chao1","Water-T0","control","control","fecal",10,8,0.105643381,0.14560096,"lnCVR","Pizarro","no","no","no","no","control"
"44",44,"Ramakrishna et al. 2020","Chao1","ACV+IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",1,4,NA,NA,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"45",45,"Ramakrishna et al. 2020","Chao1","ACV-injected","drug treatment (immune-related)","drug treatment","fecal",3,2,-0.242409833,1.433339318,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"46",46,"Ramakrishna et al. 2020","Chao1","Control","control","control","fecal",2,3,-1.053269718,1.45088064,"lnCVR","Ramakrishna","no","no","no","no","control"
"47",47,"Ramakrishna et al. 2020","Chao1","HSV1-infected","infection","infection","fecal",4,5,0.743157234,0.407815126,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"48",48,"Ramakrishna et al. 2020","Chao1","HSV1-infected; ACV+IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",2,3,NA,1.39561641,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"49",49,"Ramakrishna et al. 2020","Chao1","HSV1-infected; ACV-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",1,1,NA,NA,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"50",50,"Ramakrishna et al. 2020","Chao1","HSV1-infected; IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment","fecal",3,1,NA,NA,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"51",51,"Ramakrishna et al. 2020","Chao1","IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.882903956,0.349330558,"lnCVR","Ramakrishna","no","no","no","no","treatment"
"52",52,"Son et al. 2019","Chao1","Control","control","control","fecal",8,8,-0.260457014,0.193258976,"lnCVR","Son","no","no","no","no","control"
"53",53,"Son et al. 2019","Chao1","IL-10 Knockout ","colitis and inflammatory intervention, genotype","colitis and inflammatory intervention, genotype","fecal",8,8,0.433057019,0.192335317,"lnCVR","Son","yes","no","yes","no","treatment"
"54",54,"Song et al. 2020","Chao1","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",12,NA,NA,NA,"lnCVR","Song","no","no","yes","no","treatment"
"55",55,"Song et al. 2020","Chao1","AOM/DSS E2-supplemented","colitis and inflammatory intervention, dietary intervention","colitis and inflammatory intervention, dietary intervention","fecal",12,NA,NA,NA,"lnCVR","Song","no","no","yes","yes","treatment"
"56",56,"Song et al. 2020","Chao1","Control","control","control","fecal",5,11,-0.456922231,0.246297104,"lnCVR","Song","no","no","no","no","control"
"57",57,"Song et al. 2020","Chao1","E2-supplemented","dietary intervention","dietary intervention","fecal",12,NA,NA,NA,"lnCVR","Song","no","no","no","yes","treatment"
"58",58,"Song et al. 2020","Chao1","ovariectomized ","hormonal intervention","hormonal intervention","fecal",NA,7,NA,NA,"lnCVR","Song","no","yes","no","no","treatment"
"59",59,"Song et al. 2021","Chao1","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",8,8,0.300788131,0.190854232,"lnCVR","Song","no","no","yes","no","treatment"
"60",60,"Song et al. 2021","Chao1","AOM/DSS-Nrf2KO","colitis and inflammatory intervention, genotype (CRC-treatment)","colitis and inflammatory intervention, genotype","fecal",8,8,0.502912938,0.172120194,"lnCVR","Song","yes","no","yes","no","treatment"
"61",61,"Song et al. 2021","Chao1","Control","control","control","fecal",8,8,0.615383276,0.20241932,"lnCVR","Song","no","no","no","no","control"
"62",62,"Song et al. 2021","Chao1","Nrf2KO","genotype (CRC-treatment)","genotype","fecal",8,8,0.282008207,0.177592036,"lnCVR","Song","yes","no","no","no","treatment"
"63",63,"Song et al. 2022","Chao1","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",10,7,0.263576563,0.163926122,"lnCVR","Song","no","no","yes","no","treatment"
"64",64,"Song et al. 2022","Chao1","AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (prime male)","colitis and inflammatory intervention, hormonal intervention","fecal",8,4,-0.189540653,0.312234447,"lnCVR","Song","no","yes","yes","no","treatment"
"65",65,"Song et al. 2022","Chao1","Control","control","control","fecal",4,4,2.691253518,0.470496857,"lnCVR","Song","no","no","no","no","control"
"66",66,"Song et al. 2022","Chao1","orchiectomized","hormonal intervention (neutered male)","hormonal intervention","fecal",4,NA,NA,NA,"lnCVR","Song","no","yes","no","no","treatment"
"67",67,"Song et al. 2022","Chao1","orchiectomized_ AOM/DSS","colitis and inflammatory intervention, hormonal intervention (neutered male)","colitis and inflammatory intervention, hormonal intervention ","fecal",10,NA,NA,NA,"lnCVR","Song","no","yes","yes","no","treatment"
"68",68,"Song et al. 2022","Chao1","orchiectomized_ AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (mixed)","colitis and inflammatory intervention, hormonal intervention","fecal",6,NA,NA,NA,"lnCVR","Song","no","yes","yes","no","treatment"
"69",69,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Ear_day0_Control","rats","rats","ear",4,3,-0.641106119,0.933448817,"lnCVR","Strickland","no","no","no","no","treatment"
"70",70,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Ear_day28_Control","rats","rats","ear",10,3,-0.150288842,0.566489635,"lnCVR","Strickland","no","no","no","no","treatment"
