"","X","metric","Authors","subgroup","group","group_general","tissue","n_male","n_female","mean_female","mean_male","sd_female","sd_male","yi","vi","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"1",127,"Bray-Curtis","Cheema & Pluznick 2019","Ang II infusion","increased blood pressure (cardiovascular disease model)","drug treatment","fecal",3,3,0.31085175,0.355098768,0.113399025,0.100831719,0.329023019,0.689898635,"Cheema","no","no","no","no","treatment"
"2",131,"Bray-Curtis","Cheema & Pluznick 2019","Control","control","control","fecal",3,3,0.338409315,0.481969801,0.331285358,0.144583887,0.448154554,0.709767837,"Cheema","no","no","no","no","control"
"3",19,"Bray-Curtis","Ellis et al. 2021","2H7MK9_cecal","dietary intervention","dietary intervention","cecal",7,7,0.321795725,0.373045677,0.046196503,0.050380021,0.992415768,0.333670727,"Ellis","no","no","no","yes","treatment"
"4",23,"Bray-Curtis","Ellis et al. 2021","13C11MK4_cecal","dietary intervention","dietary intervention","cecal",7,7,0.305464817,0.383373513,0.035187665,0.051463807,1.654091544,0.418937136,"Ellis","no","no","no","yes","treatment"
"5",27,"Bray-Curtis","Ellis et al. 2021","2H7PK_cecal","dietary intervention","dietary intervention","cecal",7,7,0.333602668,0.353207814,0.024442303,0.070801702,0.346450039,0.291558698,"Ellis","no","no","no","yes","treatment"
"6",31,"Bray-Curtis","Ellis et al. 2021","2H7MK7_cecal","dietary intervention","dietary intervention","",7,7,0.328511648,0.349445403,0.023244511,0.076176372,0.347903353,0.291607834,"Ellis","no","no","no","yes","treatment"
"7",35,"Bray-Curtis","Ellis et al. 2021","Control (unlabeled PK)_cecal","control","control","cecal",7,7,0.330197621,0.377594971,0.030134266,0.105941645,0.56958294,0.301511248,"Ellis","no","no","no","no","control"
"8",39,"Bray-Curtis","Ellis et al. 2021","MK4_cecal","dietary intervention","dietary intervention","cecal",10,10,0.427434713,0.373655803,0.072421718,0.050675446,-0.82399749,0.220876441,"Ellis","no","no","no","yes","treatment"
"9",43,"Bray-Curtis","Ellis et al. 2021","PK_cecal","dietary intervention","dietary intervention","cecal",10,9,0.377889732,0.402928597,0.090662238,0.092756549,0.260576425,0.213335527,"Ellis","no","no","no","yes","treatment"
"10",47,"Bray-Curtis","Ellis et al. 2021","VKdef_cecal","dietary intervention","dietary intervention","cecal",8,9,0.384484152,0.385277857,0.100286926,0.038934876,0.009666823,0.236114634,"Ellis","no","no","no","yes","treatment"
"11",51,"Bray-Curtis","Ellis et al. 2021","Combo_cecal","dietary intervention","dietary intervention","cecal",10,9,0.361017482,0.388711643,0.059653215,0.071179449,0.400733215,0.216371968,"Ellis","no","no","no","yes","treatment"
"12",55,"Bray-Curtis","Ellis et al. 2021","MK9_cecal","dietary intervention","dietary intervention","cecal",9,9,0.396956994,0.40238183,0.049660126,0.068816922,0.086085677,0.222482005,"Ellis","no","no","no","yes","treatment"
"13",271,"Bray-Curtis","Gubert et al. 2022","WT_control","control","control","fecal",8,8,0.389337567,0.399623509,0.127033371,0.065769803,0.09612512,0.250376667,"Gubert","no","no","no","no","control"
"14",275,"Bray-Curtis","Gubert et al. 2022","WT_Enviromental enrichment ","environmental intervention","environmental intervention","fecal",8,8,0.319759528,0.441548573,0.060630555,0.125702204,1.166608146,0.305479669,"Gubert","no","no","no","no","treatment"
"15",279,"Bray-Curtis","Gubert et al. 2022","WT_Exercise","exercise","exercise","fecal",8,8,0.318920368,0.29394537,0.071465322,0.065304284,-0.34488134,0.254848677,"Gubert","no","no","no","no","treatment"
"16",283,"Bray-Curtis","Gubert et al. 2022","R6/1_Enviromental enrichment ","genotype, environmental intervention","genotype, environmental intervention","fecal",8,7,0.361459266,0.33537511,0.061151042,0.080862671,-0.338853541,0.272952668,"Gubert","yes","no","no","no","treatment"
"17",287,"Bray-Curtis","Gubert et al. 2022","R6/1_Exercise","genotype, exercise","genotype, exercise","fecal",8,8,0.336606488,0.331727645,0.083385376,0.055625681,-0.065068434,0.250172594,"Gubert","yes","no","no","no","treatment"
"18",291,"Bray-Curtis","Gubert et al. 2022","R6/1_control","genotype","genotype","fecal",8,8,0.377048846,0.401815154,0.11274574,0.096210357,0.223380209,0.252034104,"Gubert","yes","no","no","no","treatment"
"19",195,"Bray-Curtis","Ibrahim et al. 2019","AOM/DSS-ERbKOVil","colitis and inflammatory intervention, genotype, hormonal intervention","colitis and inflammatory intervention, genotype, hormonal intervention","fecal",7,6,0.397173394,0.404258612,0.059427229,0.100400498,0.078176877,0.309853433,"Ibrahim","yes","yes","yes","no","treatment"
"20",199,"Bray-Curtis","Ibrahim et al. 2019","Control","control","control","fecal",4,4,0.297294335,0.386230433,0.159274111,0.135326352,0.522730262,0.531813338,"Ibrahim","no","no","no","no","control"
"21",203,"Bray-Curtis","Ibrahim et al. 2019","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,3,0.350777393,0.392769548,0.05792142,0.155488885,0.275210158,0.482220304,"Ibrahim","no","no","yes","no","treatment"
"22",207,"Bray-Curtis","Ibrahim et al. 2019","Control-ERbKOVil","genotype, hormonal intervention","genotype, hormonal intervention","fecal",4,4,0.312433093,0.350295166,0.11626829,0.067802756,0.345562853,0.513902985,"Ibrahim","yes","yes","no","no","treatment"
"23",351,"Bray-Curtis","Kozik et al. 2019","Colitis-cecal","colitis and inflammatory intervention","colitis and inflammatory intervention","cecal",7,7,0.497737341,0.435179713,0.155079701,0.121535333,-0.420255377,0.294314043,"Kozik","no","no","yes","no","treatment"
"24",355,"Bray-Curtis","Kozik et al. 2019","Colitis-colonMucus","colitis and inflammatory intervention","colitis and inflammatory intervention","colon mucus",5,4,0.490758373,0.291869893,0.19393948,0.143765428,-1.057023442,0.555679922,"Kozik","no","no","yes","no","treatment"
"25",359,"Bray-Curtis","Kozik et al. 2019","Control-cecal","control","control","cecal",2,3,0.546564268,0.240742867,0.08559777,0,-3.166287629,4.476357236,"Kozik","no","no","no","no","control"
"26",363,"Bray-Curtis","Kozik et al. 2019","Colitis-fecal_T0","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",7,7,0.36151741,0.423825114,0.120645852,0.232707795,0.314630538,0.290534445,"Kozik","no","no","yes","no","treatment"
"27",367,"Bray-Curtis","Kozik et al. 2019","Control-fecal","control","control","fecal",2,3,0.36501137,0.429529749,0.338394719,0,0.168968133,0.843707922,"Kozik","no","no","no","no","control"
"28",371,"Bray-Curtis","Kozik et al. 2019","Colitis-fecal","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",5,7,0.469997155,0.460523635,0.134696295,0.167267065,-0.058833098,0.343066335,"Kozik","no","no","yes","no","treatment"
"29",375,"Bray-Curtis","Kozik et al. 2019","Control-fecal_T0","control","control","fecal",2,3,0.176115126,0.364221462,0.141570288,0,1.177541571,1.337197866,"Kozik","no","no","no","no","control"
"30",75,"Bray-Curtis","Lindheim et al. 2018","PRJNA445979","mixed","mixed","fecal",76,93,0.447694849,0.419885451,0.087396267,0.098621409,-0.29894711,0.024180988,"Lindheim","no","no","no","no","treatment"
"31",3,"Bray-Curtis","Lyte et al. 2022","beef-chow-stress","dietary intervention, enviromental intervention","dietary intervention, enviromental intervention","fecal",18,20,0.414509508,0.393746326,0.052322586,0.056282679,-0.374840053,0.107606394,"Lyte","no","no","no","yes","treatment"
"32",7,"Bray-Curtis","Lyte et al. 2022","chow-stress","enviromental intervention","enviromental intervention","fecal",20,20,0.421748796,0.405059101,0.042061136,0.070381278,-0.282141983,0.10109783,"Lyte","no","no","no","no","treatment"
"33",11,"Bray-Curtis","Lyte et al. 2022","chow-control","control","control","fecal",20,19,0.424465662,0.42476905,0.054191316,0.055329083,0.005425293,0.102631996,"Lyte","no","no","no","no","control"
"34",15,"Bray-Curtis","Lyte et al. 2022","beef-chow","dietary intervention","dietary intervention","fecal",18,19,0.41822907,0.470567,0.068617816,0.093268555,0.628095798,0.114118518,"Lyte","no","no","no","yes","treatment"
"35",59,"Bray-Curtis","Pizarro et al. 2021","EtOH-Syn-T1","dietary intervention_mixed","dietary intervention","fecal",10,8,0.354444724,0.282302056,0.050798053,0.022366188,-1.829297096,0.342305283,"Pizarro","no","no","no","yes","treatment"
"36",63,"Bray-Curtis","Pizarro et al. 2021","Symbiotic-T0","dietary intervention_good","dietary intervention","fecal",10,8,0.332870662,0.235394201,0.083884615,0.068557139,-1.227061652,0.277781515,"Pizarro","no","no","no","yes","treatment"
"37",67,"Bray-Curtis","Pizarro et al. 2021","Water-T0","control","control","fecal",10,8,0.36271964,0.259387234,0.077795305,0.026508606,-1.783747146,0.336536153,"Pizarro","no","no","no","no","control"
"38",71,"Bray-Curtis","Pizarro et al. 2021","EtOH-T1","dietary intervention_bad","dietary intervention","fecal",10,8,0.315814207,0.253835537,0.073413177,0.090898928,-0.705133809,0.24242979,"Pizarro","no","no","no","yes","treatment"
"39",319,"Bray-Curtis","Ramakrishna et al. 2020","HSV1-infected","infection","infection","fecal",5,5,0.402896834,0.190374465,0.136302413,0.123257057,-1.476369221,0.573526545,"Ramakrishna","no","no","no","no","treatment"
"40",323,"Bray-Curtis","Ramakrishna et al. 2020","Control","control","control","fecal",5,5,0.279142821,0.449911494,0.196933825,0.134735121,0.913635412,0.466454104,"Ramakrishna","no","no","no","no","control"
"41",327,"Bray-Curtis","Ramakrishna et al. 2020","ACV-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.441007308,0.358856517,0.267191567,0.239753225,-0.292139933,0.406794505,"Ramakrishna","no","no","no","no","treatment"
"42",331,"Bray-Curtis","Ramakrishna et al. 2020","IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.2958574,0.179384193,0.241712877,0.101563837,-0.56712694,0.425605692,"Ramakrishna","no","no","no","no","treatment"
"43",335,"Bray-Curtis","Ramakrishna et al. 2020","ACV+IVIG-injected","drug treatment (immune-related)","drug treatment","fecal",5,5,0.268615183,0.526979541,0.143776216,0.122382326,1.746902884,0.642948085,"Ramakrishna","no","no","no","no","treatment"
"44",339,"Bray-Curtis","Ramakrishna et al. 2020","HSV1-infected; IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment","fecal",5,4,0.459608662,0.420282307,0.17293954,0.136609295,-0.227945033,0.454914547,"Ramakrishna","no","no","no","no","treatment"
"45",343,"Bray-Curtis","Ramakrishna et al. 2020","HSV1-infected; ACV-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",4,4,0.396393859,0.437884912,0.271405252,0.250069793,0.138108658,0.50222073,"Ramakrishna","no","no","no","no","treatment"
"46",347,"Bray-Curtis","Ramakrishna et al. 2020","HSV1-infected; ACV+IVIG-injected","infection, drug treatment (immune-related)","infection, drug treatment ","fecal",5,5,0.42240998,0.490082922,0.100126621,0.125036369,0.539326262,0.423156829,"Ramakrishna","no","no","no","no","treatment"
"47",119,"Bray-Curtis","Son et al. 2019","IL-10 Knockout ","colitis and inflammatory intervention, genotype","colitis and inflammatory intervention, genotype","fecal",8,8,0.314741769,0.335009897,0.183249647,0.101069282,0.129472716,0.250683346,"Son","yes","no","yes","no","treatment"
"48",123,"Bray-Curtis","Son et al. 2019","Control","control","control","fecal",8,8,0.182974775,0.359182237,0.10105914,0.054342017,2.052940261,0.421805266,"Son","no","no","no","no","control"
"49",191,"Bray-Curtis","Song et al. 2020","Control","control","control","fecal",5,11,0.339342868,0.446601977,0.105403317,0.181813522,0.769078101,0.315020619,"Song","no","no","no","no","control"
"50",95,"Bray-Curtis","Song et al. 2021","Control","control","control","fecal",8,8,0.34052,0.35752038,0.189668177,0.088377395,0.108611809,0.250480881,"Song","no","no","no","no","control"
"51",99,"Bray-Curtis","Song et al. 2021","Nrf2KO","genotype (CRC-treatment)","genotype","fecal",8,8,0.334855078,0.401976988,0.138472538,0.11396617,0.500340325,0.260205044,"Song","yes","no","no","no","treatment"
"52",103,"Bray-Curtis","Song et al. 2021","AOM/DSS-Nrf2KO","colitis and inflammatory intervention, genotype (CRC-treatment)","colitis and inflammatory intervention, genotype","fecal",8,8,0.416150007,0.248553716,0.101681008,0.156652886,-1.199666281,0.308668469,"Song","yes","no","yes","no","treatment"
"53",107,"Bray-Curtis","Song et al. 2021","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",8,8,0.490480355,0.428355995,0.098479203,0.121415426,-0.531241016,0.261504481,"Song","no","no","yes","no","treatment"
"54",259,"Bray-Curtis","Song et al. 2022","AOM/DSS","colitis and inflammatory intervention","colitis and inflammatory intervention","fecal",10,7,0.231612201,0.192657002,0.100917567,0.060445244,-0.467027803,0.251078995,"Song","no","no","yes","no","treatment"
"55",263,"Bray-Curtis","Song et al. 2022","AOM/DSS_ steroid-injected","colitis and inflammatory intervention, hormonal intervention (prime male)","colitis and inflammatory intervention, hormonal intervention","fecal",8,4,0.142105568,0.193016966,0.092774591,0.093336769,0.504229258,0.390365876,"Song","no","yes","yes","no","treatment"
"56",267,"Bray-Curtis","Song et al. 2022","Control","control","control","fecal",4,4,0.162242459,0.144474904,0.075919801,0.0470766,-0.244328298,0.506950267,"Song","no","no","no","no","control"
"57",379,"Bray-Curtis","Strickland et al. 2021","Sigmodon_hispidus_Skin_day28_Control","rats","rats","skin",5,9,0.556665186,0.593749288,0.117383043,0.051060495,0.3461366,0.316944953,"Strickland","no","no","no","no","treatment"
"58",383,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day7_Control","rats","rats","skin",10,3,0.427976394,0.512355658,0.12505169,0.144647609,0.555389501,0.44996966,"Strickland","no","no","no","no","treatment"
"59",387,"Bray-Curtis","Strickland et al. 2021","Sigmodon_hispidus_Ear_day28_Control","rats","rats","ear",5,9,0.632363178,0.520833783,0.044994268,0.066089838,-1.970717741,0.500218497,"Strickland","no","no","no","no","treatment"
"60",391,"Bray-Curtis","Strickland et al. 2021","Sigmodon_hispidus_Skin_day7_Control","rats","rats","skin",5,8,0.574120949,0.502964425,0.032162945,0.093922541,-1.064248587,0.386086928,"Strickland","no","no","no","no","treatment"
"61",395,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day0_Control","rats","rats","nose",5,3,0.564313588,0.553325077,0.029975648,0.154708964,-0.074862439,0.533985835,"Strickland","no","no","no","no","treatment"
"62",399,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day0_Control","rats","rats","fecal",20,3,0.327779485,0.495210772,0.038598431,0.103015178,1.634788837,0.452714339,"Strickland","no","no","no","no","treatment"
"63",403,"Bray-Curtis","Strickland et al. 2021","Sigmodon_hispidus_Ear_day7_Control","rats","rats","ear",5,9,0.409396986,0.453959867,0.10753592,0.238174945,0.255641288,0.314293268,"Strickland","no","no","no","no","treatment"
"64",407,"Bray-Curtis","Strickland et al. 2021","Sigmodon_hispidus_Nose_day28_Control","rats","rats","nose",5,8,0.592013105,0.222200585,0.035856378,0.068578793,-6.8395309,2.84798548,"Strickland","no","no","no","no","treatment"
"65",411,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day28_Control","rats","rats","fecal",10,3,0.314293649,0.42149552,0.050114007,0.071923567,1.455871232,0.547649604,"Strickland","no","no","no","no","treatment"
"66",415,"Bray-Curtis","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day28_Control","rats","rats","fecal",5,9,0.507285904,0.365651514,0.148100499,0.032962381,-1.082913737,0.368212591,"Strickland","no","no","no","no","treatment"
"67",419,"Bray-Curtis","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day14_Control","rats","rats","fecal",5,9,0.376571858,0.339834606,0.030017622,0.147836585,-0.387194553,0.318411031,"Strickland","no","no","no","no","treatment"
"68",423,"Bray-Curtis","Strickland et al. 2021","Sigmodon_hispidus_Nose_day7_Control","rats","rats","nose",5,9,0.363239339,0.260972148,0.152653462,0.16038963,-0.616429763,0.329613459,"Strickland","no","no","no","no","treatment"
"69",427,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day7_Control","rats","rats","nose",10,3,0.474969414,0.483413527,0.042572615,0.203829381,0.042386892,0.433430234,"Strickland","no","no","no","no","treatment"
