"","Authors","stats","metric","ES","Variance","pval"
"1","Combined","lnCVR","Chao1",0.0863576660449665,0.00297377815946418,0.11328384442457
"2","Combined","lnCVR","Evenness",0.0477165636097036,0.00474219889208817,0.488363582198241
"3","Combined","lnCVR","Richness",0.153309614451869,0.00476556941241313,0.026363629488217
"4","Combined","lnCVR","Faith's PD",0.157590223508618,0.00630052845191597,0.0471036628290948
"5","Combined","lnCVR","Shannon",0.0987430641872952,0.00484717365667415,0.156108717198885
"6","Combined","lnCVR","Simpson",0.147357417063353,0.0102187610249319,0.144918878471857
"7","Combined","lnVR","Chao1",0.0678546278875131,0.002878608462952,0.20597820523266
"8","Combined","lnVR","Evenness",0.0250317841009491,0.00370596355143085,0.680934130885908
"9","Combined","lnVR","Richness",0.13963642433619,0.00341942857929434,0.0169434776485008
"10","Combined","lnVR","Faith's PD",0.136399894110025,0.00480179179225431,0.0490225455219552
"11","Combined","lnVR","Shannon",0.0723576117670557,0.0036732703309342,0.232528029091311
"12","Combined","lnVR","Simpson",0.123265530278897,0.00893154907328217,0.192130537711032
"13","Combined","lnRR","Chao1",-0.0119451728244849,0.000282694847850889,0.477425154670181
"14","Combined","lnRR","Evenness",-0.0117197109913837,0.00017416119729624,0.374509695938529
"15","Combined","lnRR","Richness",-0.0122068216027402,0.000189228913790054,0.37487521285912
"16","Combined","lnRR","Faith's PD",-0.0348695502743007,0.000390576118228225,0.0776670815284878
"17","Combined","lnRR","Shannon",-0.0280403504522623,0.000336830226218385,0.126552239612696
"18","Combined","lnRR","Simpson",-0.0122366549391656,6.68166338160884e-05,0.134394498443219
