"","Authors","metric","subgroup","CN","EN","yi","vi","stats","Protocol"
"1","Cheema & Pluznick 2019","Chao1.Chao1","Ang II infusion",3,3,-1.04254702817472,0.763879545800386,"lnCVR","Cheema"
"2","Cheema & Pluznick 2019","Chao1.Chao1","Control",3,3,-0.102735147220935,0.798325445565339,"lnCVR","Cheema"
"3","Ellis et al. 2021","Chao1.Chao1","13C11MK4_cecal",7,7,-0.0329531056915472,0.195504896340463,"lnCVR","Ellis"
"4","Ellis et al. 2021","Chao1.Chao1","2H7MK7_cecal",7,7,0.195525248667853,0.200439152144951,"lnCVR","Ellis"
"5","Ellis et al. 2021","Chao1.Chao1","2H7MK9_cecal",7,7,0.94852634223292,0.200451149328344,"lnCVR","Ellis"
"6","Ellis et al. 2021","Chao1.Chao1","2H7PK_cecal",7,7,-0.718673839077621,0.199268252373706,"lnCVR","Ellis"
"7","Ellis et al. 2021","Chao1.Chao1","Combo_cecal",10,9,-0.0833104131503878,0.13721532090067,"lnCVR","Ellis"
"8","Ellis et al. 2021","Chao1.Chao1","Control (unlabeled PK)_cecal",7,7,-2.16764121901266,0.213478058160918,"lnCVR","Ellis"
"9","Ellis et al. 2021","Chao1.Chao1","MK4_cecal",10,10,0.0671285523247696,0.130074394497312,"lnCVR","Ellis"
"10","Ellis et al. 2021","Chao1.Chao1","MK9_cecal",9,9,-0.415175347778118,0.145847521387748,"lnCVR","Ellis"
"11","Ellis et al. 2021","Chao1.Chao1","PK_cecal",10,9,-0.85929134720132,0.144754063549814,"lnCVR","Ellis"
"12","Ellis et al. 2021","Chao1.Chao1","VKdef_cecal",8,9,-0.0859023438239291,0.158129120715792,"lnCVR","Ellis"
"13","Gubert et al. 2022","Chao1.Chao1","R6/1_Enviromental enrichment ",16,14,-0.289559164093625,0.0798310419109779,"lnCVR","Gubert"
"14","Gubert et al. 2022","Chao1.Chao1","R6/1_Exercise",16,16,0.380618808792817,0.0757130559287538,"lnCVR","Gubert"
"15","Gubert et al. 2022","Chao1.Chao1","R6/1_control",16,16,0.699595992016238,0.0764384812562978,"lnCVR","Gubert"
"16","Gubert et al. 2022","Chao1.Chao1","WT_Enviromental enrichment ",16,16,-0.691142808455494,0.0820929402118048,"lnCVR","Gubert"
"17","Gubert et al. 2022","Chao1.Chao1","WT_Exercise",16,16,0.069093604843112,0.0771170930729285,"lnCVR","Gubert"
