"","Row.names","Kingdom","Phylum","Class","Order","Family","Genus","Species","taxon","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6","beta","direct","Sex","group","Study"
"1","8f98fb8693ed59c21399d83ce2d10724","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"8f98fb8693ed59c21399d83ce2d10724",78,FALSE,TRUE,TRUE,TRUE,-3.25453030511292,"Negative","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"2","ac1ecfccfe7157c5c56b9ad633d96f25","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_Bacteroidales","ac1ecfccfe7157c5c56b9ad633d96f25",62,FALSE,FALSE,TRUE,TRUE,5.10106192391363,"Positive","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"3","d0c744e148cc640857b6feda81d65470","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae",NA,"d0c744e148cc640857b6feda81d65470",62,FALSE,FALSE,TRUE,TRUE,5.39096295356961,"Positive","male","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"4","41e0baafeaf6b2ca88b4be67ab9d00a5","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","41e0baafeaf6b2ca88b4be67ab9d00a5",59,FALSE,FALSE,TRUE,TRUE,4.82454422095688,"Positive","female","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"5","551c50d2cb548ec954b999d2bf9b5017","d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","uncultured_bacterium","551c50d2cb548ec954b999d2bf9b5017",69,FALSE,TRUE,TRUE,TRUE,-3.78747126903997,"Negative","female","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"6","a8755d2daad093cbe6c9c04b7927bbbd","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","a8755d2daad093cbe6c9c04b7927bbbd",71,FALSE,TRUE,TRUE,TRUE,-3.82576505782685,"Negative","female","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"7","b0d5a4ec8e74ac4c6cb4ecb9406183d8","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"b0d5a4ec8e74ac4c6cb4ecb9406183d8",69,FALSE,TRUE,TRUE,TRUE,3.84495586486107,"Positive","female","Smad3-/-_CRC_SFB-_fecal","Wolfe et al. 2020"
"8","368c8aaf10922a92b5d77aa9eb36a7c0","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"368c8aaf10922a92b5d77aa9eb36a7c0",68,FALSE,FALSE,TRUE,TRUE,3.8818641919613,"Positive","male","Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020"
"9","6b0ff3b95f5a0170f8cf05f2d648be69","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"6b0ff3b95f5a0170f8cf05f2d648be69",71,FALSE,TRUE,TRUE,TRUE,3.622234687091,"Positive","male","Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020"
"10","7fac4964fbc95ab2f51af4fc6a3f5b48","d__Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","Anaeroplasma","uncultured_bacterium","7fac4964fbc95ab2f51af4fc6a3f5b48",68,FALSE,FALSE,TRUE,TRUE,6.11311248466925,"Positive","male","Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020"
"11","a8755d2daad093cbe6c9c04b7927bbbd","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","a8755d2daad093cbe6c9c04b7927bbbd",83,TRUE,TRUE,TRUE,TRUE,7.41522846271655,"Positive","male","Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020"
"12","b0d5a4ec8e74ac4c6cb4ecb9406183d8","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"b0d5a4ec8e74ac4c6cb4ecb9406183d8",75,FALSE,TRUE,TRUE,TRUE,-4.17469235487241,"Negative","male","Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020"
"13","ec03e7bda60286f2306337a059f5b0f5","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_Bacteroidales","ec03e7bda60286f2306337a059f5b0f5",79,TRUE,TRUE,TRUE,TRUE,5.68370182249323,"Positive","male","Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020"
"14","4a019c97a1e854f9d608209c2939d548","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","uncultured_bacterium","4a019c97a1e854f9d608209c2939d548",79,TRUE,TRUE,TRUE,TRUE,-4.36602329664499,"Negative","female","Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020"
"15","8d38eab2c38b24f6c148059d00e838b0","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","8d38eab2c38b24f6c148059d00e838b0",73,FALSE,TRUE,TRUE,TRUE,-4.38358210779068,"Negative","female","Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020"
"16","8f98fb8693ed59c21399d83ce2d10724","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"8f98fb8693ed59c21399d83ce2d10724",83,TRUE,TRUE,TRUE,TRUE,3.4249830914767,"Positive","female","Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020"
"17","4f0327d92b133d32fecd7992814c7398","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella",NA,"4f0327d92b133d32fecd7992814c7398",61,FALSE,FALSE,TRUE,TRUE,3.58800954919467,"Positive","male","Smad3-/-_CRC_SFB-_cecal","Wolfe et al. 2020"
"18","4a019c97a1e854f9d608209c2939d548","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","uncultured_bacterium","4a019c97a1e854f9d608209c2939d548",73,TRUE,TRUE,TRUE,TRUE,3.34302626763029,"Positive","female","Smad3-/-_CRC_SFB-_cecal","Wolfe et al. 2020"
"19","2039dfa30bbf0e7fe3ba335dc0568a27","d__Bacteria","Firmicutes","Clostridia","Clostridia_UCG-014","Clostridia_UCG-014","Clostridia_UCG-014",NA,"2039dfa30bbf0e7fe3ba335dc0568a27",62,FALSE,TRUE,TRUE,TRUE,-5.03470072175039,"Negative","male","Colitis-fecal_T0","Kozik et al. 2019"
"20","aa18f1f0f79b19771025041b36843ee6","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1",NA,"aa18f1f0f79b19771025041b36843ee6",76,TRUE,TRUE,TRUE,TRUE,-5.13925796129394,"Negative","male","Colitis-fecal_T0","Kozik et al. 2019"
"21","f92cd0973ff85c4fac46db90e3464954","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA,"f92cd0973ff85c4fac46db90e3464954",63,FALSE,TRUE,TRUE,TRUE,-4.196200179148,"Negative","male","Colitis-fecal_T0","Kozik et al. 2019"
"22","686b1c1752a35be01421dfdacfa244e1","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","686b1c1752a35be01421dfdacfa244e1",60,FALSE,TRUE,TRUE,TRUE,-5.46375916802813,"Negative","female","Colitis-fecal_T0","Kozik et al. 2019"
"23","73ecb2b42a2a27b594d1940b3b01355c","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,"73ecb2b42a2a27b594d1940b3b01355c",82,FALSE,FALSE,TRUE,TRUE,-17.4370708036085,"Negative","male","Colitis-fecal","Kozik et al. 2019"
"24","7efc613eebf9b44ca100ebfe74b7b028","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Lachnospiraceae_bacterium","7efc613eebf9b44ca100ebfe74b7b028",95,FALSE,FALSE,TRUE,TRUE,-23.9345030311076,"Negative","male","Colitis-cecal","Kozik et al. 2019"
"25","a086845b34a70c059b77b24c01da08e7","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium]_xylanophilum_group","uncultured_bacterium","a086845b34a70c059b77b24c01da08e7",105,FALSE,TRUE,TRUE,TRUE,-6.65351866271305,"Negative","male","Colitis-cecal","Kozik et al. 2019"
"26","d5afd202fdec49e85c0014789dbd2742","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","unidentified","d5afd202fdec49e85c0014789dbd2742",103,FALSE,TRUE,TRUE,TRUE,-639.580432252909,"Negative","male","Colitis-cecal","Kozik et al. 2019"
"27","ec23b923e536e0a2279f4c973531e122","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","uncultured_bacterium","ec23b923e536e0a2279f4c973531e122",115,TRUE,TRUE,TRUE,TRUE,-6.64553488958519,"Negative","male","Colitis-cecal","Kozik et al. 2019"
"28","46bd431314d551a4394037b4b0e5f9da","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","46bd431314d551a4394037b4b0e5f9da",85,FALSE,FALSE,TRUE,TRUE,-3.84494346994252,"Negative","male","WT_Exercise","Gubert et al. 2022"
"29","e60e2669f1e3f577f25fb857ba8de3eb","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","gut_metagenome","e60e2669f1e3f577f25fb857ba8de3eb",89,FALSE,TRUE,TRUE,TRUE,3.84494346994252,"Positive","male","WT_Exercise","Gubert et al. 2022"
"30","42813a7ac2260688d1e5def012a3bf78","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","42813a7ac2260688d1e5def012a3bf78",71,FALSE,FALSE,TRUE,TRUE,3.43157502215384,"Positive","female","WT_Enviromental enrichment ","Gubert et al. 2022"
"31","46bd431314d551a4394037b4b0e5f9da","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","46bd431314d551a4394037b4b0e5f9da",96,TRUE,TRUE,TRUE,TRUE,-5.33142479593443,"Negative","female","R6/1_Exercise","Gubert et al. 2022"
"32","df45ff114fca650e2150e761e33d947f","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_Bacteroidales","df45ff114fca650e2150e761e33d947f",91,FALSE,TRUE,TRUE,TRUE,5.33142479593443,"Positive","female","R6/1_Exercise","Gubert et al. 2022"
"33","074478577353df0840cde9827351d2e9","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"074478577353df0840cde9827351d2e9",89,FALSE,TRUE,TRUE,TRUE,4.65520376486299,"Positive","female","R6/1_Enviromental enrichment ","Gubert et al. 2022"
