"","Row.names","Kingdom","Phylum","Class","Order","Family","Genus","Species","taxon","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6","beta","direct","group","Study"
"1","074478577353df0840cde9827351d2e9","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"074478577353df0840cde9827351d2e9",100,FALSE,TRUE,TRUE,TRUE,-3.52763143223163,"Negative","R6/1_Exercise","Gubert et al. 2022"
"2","8c29c0ac4bed029ebbeb22b3935cc8bb","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"8c29c0ac4bed029ebbeb22b3935cc8bb",95,FALSE,TRUE,TRUE,TRUE,-3.44866106148945,"Negative","WT_Exercise","Gubert et al. 2022"
"3","df45ff114fca650e2150e761e33d947f","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_Bacteroidales","df45ff114fca650e2150e761e33d947f",83,FALSE,FALSE,TRUE,TRUE,-5.07179092300452,"Negative","WT_Enviromental enrichment ","Gubert et al. 2022"
"4","b3fc3e19a30c2fd4536755ef7cea398f","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"b3fc3e19a30c2fd4536755ef7cea398f",24,FALSE,FALSE,TRUE,TRUE,5.41010613410937,"Positive","control","Song et al. 2022"
"5","7179e410dae4da3c091f2f3e2689d397","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,"7179e410dae4da3c091f2f3e2689d397",49,TRUE,TRUE,TRUE,TRUE,-3.66999888192247,"Negative","AOM/DSS","Song et al. 2022"
"6","b1669e34b90f401da7c3323ddec2a118","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","Ruminococcus_sp.","b1669e34b90f401da7c3323ddec2a118",45,FALSE,TRUE,TRUE,TRUE,3.98052297266721,"Positive","AOM/DSS","Song et al. 2022"
"7","102ebfe1ea2610313d56c3442f02c3b7","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"102ebfe1ea2610313d56c3442f02c3b7",26,TRUE,TRUE,TRUE,TRUE,-5.5159213416247,"Negative","Fiberfree","Tashiro et al. 2020"
"8","b39c338f5e964b6cb87e07f10badc6c4","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus_lactis","b39c338f5e964b6cb87e07f10badc6c4",24,TRUE,TRUE,TRUE,TRUE,5.5159213416247,"Positive","Fiberfree","Tashiro et al. 2020"
"9","c4b174b16c827c7ea10cefa19e7fd92c","d__Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium]_nodatum_group","uncultured_bacterium","c4b174b16c827c7ea10cefa19e7fd92c",19,FALSE,FALSE,TRUE,TRUE,6.12042673771919,"Positive","Fiberfree","Tashiro et al. 2020"
"10","0b0494e8514853f77d926100320d2cf2","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium]_coprostanoligenes_group","[Eubacterium]_coprostanoligenes_group","uncultured_bacterium","0b0494e8514853f77d926100320d2cf2",35,FALSE,FALSE,TRUE,TRUE,-5.36451970542458,"Negative","control","Tashiro et al. 2020"
"11","102ebfe1ea2610313d56c3442f02c3b7","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"102ebfe1ea2610313d56c3442f02c3b7",43,TRUE,TRUE,TRUE,TRUE,-3.66107322271687,"Negative","control","Tashiro et al. 2020"
"12","26c9f4f844da09bdd5c1603be193969c","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae",NA,NA,"26c9f4f844da09bdd5c1603be193969c",35,TRUE,TRUE,TRUE,TRUE,-3.63054199286673,"Negative","Pectin","Tashiro et al. 2020"
"13","b39c338f5e964b6cb87e07f10badc6c4","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus_lactis","b39c338f5e964b6cb87e07f10badc6c4",35,TRUE,TRUE,TRUE,TRUE,-3.56457348686965,"Negative","Pectin","Tashiro et al. 2020"
"14","074478577353df0840cde9827351d2e9","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"074478577353df0840cde9827351d2e9",78,TRUE,TRUE,TRUE,TRUE,-4.64721327888601,"Negative","Smad3-/-_healthy_SFB+_cecal","Wolfe et al. 2020"
"15","368c8aaf10922a92b5d77aa9eb36a7c0","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"368c8aaf10922a92b5d77aa9eb36a7c0",76,TRUE,TRUE,TRUE,TRUE,-4.8156754610863,"Negative","Smad3-/-_healthy_SFB+_cecal","Wolfe et al. 2020"
"16","4a019c97a1e854f9d608209c2939d548","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","uncultured_bacterium","4a019c97a1e854f9d608209c2939d548",60,FALSE,FALSE,TRUE,TRUE,-7.22844891818382,"Negative","Smad3-/-_healthy_SFB+_cecal","Wolfe et al. 2020"
"17","df45ff114fca650e2150e761e33d947f","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_Bacteroidales","df45ff114fca650e2150e761e33d947f",78,TRUE,TRUE,TRUE,TRUE,4.95103549735615,"Positive","Smad3-/-_healthy_SFB+_cecal","Wolfe et al. 2020"
"18","f54f8e7e0454f5e8278f2db56ccf683f","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","uncultured_bacterium","f54f8e7e0454f5e8278f2db56ccf683f",59,FALSE,FALSE,TRUE,TRUE,-5.69204709629802,"Negative","Smad3-/-_healthy_SFB+_cecal","Wolfe et al. 2020"
"19","074478577353df0840cde9827351d2e9","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,"074478577353df0840cde9827351d2e9",72,FALSE,TRUE,TRUE,TRUE,-2.44228588745275,"Negative","Smad3-/-_healthy_SFB-_cecal","Wolfe et al. 2020"
"20","41e0baafeaf6b2ca88b4be67ab9d00a5","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae","uncultured_bacterium","41e0baafeaf6b2ca88b4be67ab9d00a5",57,FALSE,FALSE,TRUE,TRUE,22.941245536804,"Positive","Smad3-/-_CRC_SFB-_cecal","Wolfe et al. 2020"
"21","368c8aaf10922a92b5d77aa9eb36a7c0","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"368c8aaf10922a92b5d77aa9eb36a7c0",66,FALSE,TRUE,TRUE,TRUE,3.34225142802946,"Positive","Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020"
"22","6b0ff3b95f5a0170f8cf05f2d648be69","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,"6b0ff3b95f5a0170f8cf05f2d648be69",74,TRUE,TRUE,TRUE,TRUE,3.41820697184558,"Positive","Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020"
