"","Row.names","Kingdom","Phylum","Class","Order","Family","Genus","Species","Intercept..Est","Intercept..SE","Intercept..t.val","X.Intercept..pval","X.Intercept..pval.padj","Sex","Study","group","Est","SE","t.val","pval","pval.padj","rab.all","rab.win.0","rab.win.1","diff.btw","diff.win","effect","overlap","direct","id"
"1","e78a758dd0cf4ecdeec205371b241817","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","unidentified",0.597994296159827,0.360786511187186,1.68296385432372,0.16982828178011,1,"male","Wolfe et al. 2020","Smad3CRCSFBfecal",4.52521364518775,0.857356506218684,5.29136394523418,9.526007227985e-06,0.0225153317220958,1.03728170193418,0.678411577923669,6.57778040947656,5.06353787978332,7.46137616214716,0.635346020808045,0.264705887671908,"Positive","male_Smad3CRCSFBfecal_Wolfe et al. 2020_Positive"
"2","08577b6aac2f5f6555ea43652073b45e","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","uncultured","uncultured_bacterium",5.57162359716739,0.668409002573911,8.99380087856339,0.000110414529014741,0.00830753046425782,"male","Tashiro et al. 2020","Pectin",-6.71407205757765,0.945273076652298,-7.45367823905637,2.3560963290899e-05,0.00779363904728442,4.18000364791687,4.78347438727384,-0.405036576645013,-5.18900379013713,2.96753028078022,-1.69806262020474,0.0253921488823485,"Negative","male_Pectin_Tashiro et al. 2020_Negative"
"3","0b0494e8514853f77d926100320d2cf2","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium]_coprostanoligenes_group","[Eubacterium]_coprostanoligenes_group","uncultured_bacterium",7.06580710196821,1.03910913075183,7.00441647487211,4.14376645373317e-06,0.00133782554488467,"male","Tashiro et al. 2020","Pectin",-8.03138005054179,1.46952222549495,-5.60828676350282,7.80865793662214e-05,0.0260729232329196,5.04363288322959,6.7724302128341,-0.388918460771691,-7.3758323605064,4.60987292700879,-1.50332571807568,0.0878910335387965,"Negative","male_Pectin_Tashiro et al. 2020_Negative"
"4","102ebfe1ea2610313d56c3442f02c3b7","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,7.99379972432996,0.858734203987594,9.31363055775875,5.43746183482192e-10,1.9209366055691e-07,"male","Tashiro et al. 2020","Pectin",7.58330464012197,1.21443355775292,6.24556882311611,9.76586186614163e-07,0.000352742629469855,12.7925926358622,11.8180355223068,15.9975473684125,4.03523971096613,3.43286930196758,1.17796769073829,0.0506830004475135,"Positive","male_Pectin_Tashiro et al. 2020_Positive"
"5","37a90abf181b684611b3eabfd5dfa715","d__Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus",NA,2.55662901148158,1.01150015007797,2.62946143930526,0.0269514758870035,0.935922560095471,"male","Tashiro et al. 2020","Pectin",11.254596184289,1.43047723058269,8.1757462881542,1.10052059091132e-06,0.000395391247017854,2.55592594568706,1.74774272046557,13.743296849175,12.2566107259014,2.70872334816383,4.47486286876096,0.000137056276785441,"Positive","male_Pectin_Tashiro et al. 2020_Positive"
"6","46f43d3fe417eb537a1c421542cd3fbc","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Lachnospiraceae_bacterium",8.91742981734594,0.870369097147715,10.7097541959014,1.03538325901024e-07,3.44397963021173e-05,"male","Tashiro et al. 2020","Fiberfree",-10.8552737242475,1.23088778145672,-9.14854882241495,5.93904066020084e-07,0.000214706210727739,5.72262114458557,8.71157644216371,-1.27847209779824,-9.09961776829148,6.21864836449719,-1.3411807323119,0.105263489677621,"Negative","male_Fiberfree_Tashiro et al. 2020_Negative"
"7","46f43d3fe417eb537a1c421542cd3fbc","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","Lachnospiraceae_bacterium",8.91742981734594,0.870369097147715,10.7097541959014,1.03538325901024e-07,3.44397963021173e-05,"male","Tashiro et al. 2020","Pectin",-8.95113501384099,1.23088778145673,-7.51122388818887,1.34137317353566e-06,0.000469892064169674,5.72262114458557,8.71157644216371,0.558305088793771,-6.84189776182446,7.0564961322326,-0.823402777763091,0.25195322959305,"Negative","male_Pectin_Tashiro et al. 2020_Negative"
"8","4f0327d92b133d32fecd7992814c7398","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella",NA,-2.67924576736525,1.06891287723185,-2.52560335479778,0.0693197261517941,0.879361136499244,"male","Tashiro et al. 2020","Pectin",12.1216705861189,1.51167108797653,8.25732615127356,3.58445908081059e-07,0.000129308944754043,-0.568688644569296,-1.65993199955022,10.2177236978837,11.3715127212302,4.01536827181278,2.77944286674389,0.000137056276785441,"Positive","male_Pectin_Tashiro et al. 2020_Positive"
"9","6384780b6f2772d3125d3179601767fb","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",NA,-2.01482182314103,1.08368059273773,-1.86086573090175,0.165024633556731,0.954620733722978,"male","Tashiro et al. 2020","Pectin",11.5617426009139,1.53255579153021,7.72965035023794,2.89328674815792e-06,0.00103514728142896,0.828927419757427,-0.305808045284799,10.7546164510109,10.5314763190013,4.57304563914107,2.42311825980339,0.000137056276785441,"Positive","male_Pectin_Tashiro et al. 2020_Positive"
"10","681b8604b8939af77212d71fee9731cd","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Lachnospiraceae_bacterium",7.31622883077592,0.817071301409705,9.2483707708016,1.12707473634518e-07,3.75434542409893e-05,"male","Tashiro et al. 2020","Pectin",-8.53934624810581,1.15551331587944,-7.52266925977927,9.66621774706189e-07,0.000338823030730235,6.18823573504247,7.42241586749879,-0.478809864855462,-8.65692092350375,4.228619038793,-1.9551838865409,0.0155970383678886,"Negative","male_Pectin_Tashiro et al. 2020_Negative"
