,Row.names,Kingdom,Phylum,Class,Order,Family,Genus,Species,rab.all,rab.win.female,rab.win.male,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH,Treatment,Group,Study,direct,id
736,02b282568bb934d870824315c232fd8b,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,5.55296169,9.369896089,-1.677698341,-11.13487982,2.326901712,-5.038007308,0.000156633,0.000168092,0.005052678,0.000582751,0.016721241,treatment,13C11MK4,Ellis et al. 2021,Negative,13C11MK4_Ellis et al. 2021_Negative
744,1db8b37913edafca869c6d415ad3aceb,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,uncultured_bacterium,6.635047518,7.411706361,5.678466046,-1.691960299,0.803469897,-2.06351512,0.004465783,0.000342197,0.010926332,0.000651042,0.018046102,treatment,13C11MK4,Ellis et al. 2021,Negative,13C11MK4_Ellis et al. 2021_Negative
749,35ffdd51464e2c68179717e5334a1d7e,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_salyersiae,6.060130297,10.71745856,-1.797197423,-12.57819033,2.52976625,-5.059118869,0.000156633,6.71393725983574e-05,0.002704415,0.000582751,0.016721241,treatment,13C11MK4,Ellis et al. 2021,Negative,13C11MK4_Ellis et al. 2021_Negative
761,6797371940252066205fbd1b85d623ce,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_intestinalis,12.05034905,10.6737654,12.59586224,2.123426544,1.156580564,1.893652933,0.000156633,0.000829814,0.039284521,0,0,treatment,13C11MK4,Ellis et al. 2021,Positive,13C11MK4_Ellis et al. 2021_Positive
762,6b694d799e64e40662193c9cb8639bac,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured,NA,1.684425743,-2.027864729,9.014980161,10.86512589,3.874637245,2.682893422,0.000156633,8.770708641599e-05,0.006190647,2.73164335664391e-05,0.001144143,treatment,13C11MK4,Ellis et al. 2021,Positive,13C11MK4_Ellis et al. 2021_Positive
764,741bd135e614533f94df0ce08b8dccd0,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,5.488564404,9.91242354,-1.786472658,-11.80454885,2.53076435,-4.692278664,0.000156633,8.24516094084487e-05,0.003058896,0.000582751,0.016721241,treatment,13C11MK4,Ellis et al. 2021,Negative,13C11MK4_Ellis et al. 2021_Negative
766,7fac4964fbc95ab2f51af4fc6a3f5b48,d__Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma,uncultured_bacterium,3.462005227,-2.350576359,6.538697585,10.03675965,4.028765481,2.585753976,0.000156633,0.000122586,0.007565652,0,0,treatment,13C11MK4,Ellis et al. 2021,Positive,13C11MK4_Ellis et al. 2021_Positive
767,8135a6df58104fa3c087743d36785d15,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,uncultured_bacterium,3.285537352,-2.216590014,5.713140303,8.415418661,2.918547813,2.80296698,0.000156633,0.000329168,0.014600271,0,0,treatment,13C11MK4,Ellis et al. 2021,Positive,13C11MK4_Ellis et al. 2021_Positive
769,8dde7ab997d5419d772d3686e259a471,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,6.831785796,10.59803502,-0.59416825,-10.91871105,3.812179364,-2.839558211,0.000156633,0.000387205,0.011722814,0.000582751,0.016721241,treatment,13C11MK4,Ellis et al. 2021,Negative,13C11MK4_Ellis et al. 2021_Negative
774,ad20db754215d13b3ac8d33afb654b9b,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,CAG-352,uncultured_bacterium,6.260989857,-2.147253401,10.57532156,13.09543251,2.620813278,5.101933723,0.000156633,4.44371115506572e-05,0.004295141,0,0,treatment,13C11MK4,Ellis et al. 2021,Positive,13C11MK4_Ellis et al. 2021_Positive
775,b07e81a9d95bb89a8b08afb8f0dc1493,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK4A136_group,NA,3.217166549,5.953296713,-1.828044362,-8.269037809,3.230448004,-2.571799848,0.000156633,0.000421164,0.010318926,0.000582751,0.016721241,treatment,13C11MK4,Ellis et al. 2021,Negative,13C11MK4_Ellis et al. 2021_Negative
778,b4d6edf2fed7f3c5477d370559a3a9cf,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,4.740166364,7.89427498,-1.75749793,-10.04585911,2.834138187,-3.524570685,0.000156633,9.51593670371602e-05,0.003424114,0.000582751,0.016721241,treatment,13C11MK4,Ellis et al. 2021,Negative,13C11MK4_Ellis et al. 2021_Negative
780,ba14674a604faae7a83e0ab9d7151dcd,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,3.380264574,5.582061387,-1.917442756,-7.454020551,2.459858804,-3.00168025,0.000156633,0.00078796,0.01763671,0.000582751,0.016721241,treatment,13C11MK4,Ellis et al. 2021,Negative,13C11MK4_Ellis et al. 2021_Negative
781,c1e6a3b26cc7d12c8f7e22ebb092e001,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,5.854216838,11.17247534,-1.66948771,-12.53123197,2.451813877,-5.154612433,0.000156633,4.54067126820511e-05,0.0017146,0.000582751,0.016721241,treatment,13C11MK4,Ellis et al. 2021,Negative,13C11MK4_Ellis et al. 2021_Negative
787,d8eb518d96bf708e8353e78d62a39303,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,NA,7.026715644,11.7139488,-1.863225425,-13.76697322,2.663329317,-5.296664098,0.000156633,7.68638345690098e-05,0.002839721,0.000582751,0.016721241,treatment,13C11MK4,Ellis et al. 2021,Negative,13C11MK4_Ellis et al. 2021_Negative
797,fc02af89d869043b296114729009a5b0,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,CAG-352,uncultured_bacterium,5.580028175,9.279671957,-1.997767418,-11.30226388,2.889348943,-4.088536252,0.000156633,0.000124729,0.004439286,0.000582751,0.016721241,treatment,13C11MK4,Ellis et al. 2021,Negative,13C11MK4_Ellis et al. 2021_Negative
613,02b282568bb934d870824315c232fd8b,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,5.234792166,9.343694022,-1.885265303,-10.92677091,2.575085793,-4.369331666,0.000156633,0.000103138,0.004559117,0,0,treatment,2H7MK7,Ellis et al. 2021,Negative,2H7MK7_Ellis et al. 2021_Negative
618,109d8be93136956ca2520f3ee1ed4fa9,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA,NA,8.055296666,9.918181265,6.705624354,-2.934854615,0.913995248,-3.153724255,0.000156633,3.72820892525182e-06,0.000567015,0,0,treatment,2H7MK7,Ellis et al. 2021,Negative,2H7MK7_Ellis et al. 2021_Negative
621,1db8b37913edafca869c6d415ad3aceb,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,uncultured_bacterium,6.815392422,7.53204439,5.715918877,-1.733589117,0.925035596,-1.833181198,0.024500942,0.001564851,0.038879182,0.000678358,0.015359302,treatment,2H7MK7,Ellis et al. 2021,Negative,2H7MK7_Ellis et al. 2021_Negative
630,35ffdd51464e2c68179717e5334a1d7e,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_salyersiae,6.116629691,10.18495021,-1.280793743,-11.52397756,2.894569856,-4.263696812,0.000156633,0.000135589,0.005656055,0,0,treatment,2H7MK7,Ellis et al. 2021,Negative,2H7MK7_Ellis et al. 2021_Negative
641,619f64f2bf103286f4f70bfd89500ed4,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,7.615418389,6.396503126,9.373015267,2.758783047,1.097906133,2.34493595,0.002254547,6.89896450361628e-05,0.005446117,0.000705675,0.02233957,treatment,2H7MK7,Ellis et al. 2021,Positive,2H7MK7_Ellis et al. 2021_Positive
642,6797371940252066205fbd1b85d623ce,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_intestinalis,12.10889864,10.47470324,12.84094072,2.314933784,1.068631569,2.22874714,0.000156633,0.000105877,0.007056153,0.000582751,0.019495941,treatment,2H7MK7,Ellis et al. 2021,Positive,2H7MK7_Ellis et al. 2021_Positive
643,6b694d799e64e40662193c9cb8639bac,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured,NA,4.534026598,-2.130071127,8.872730983,11.07171438,2.755744162,4.005246262,0.000156633,0.000103051,0.004519008,0.000582751,0.019495941,treatment,2H7MK7,Ellis et al. 2021,Positive,2H7MK7_Ellis et al. 2021_Positive
