"","Row.names","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.female","rab.win.male","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Group","Study","direct"
"1","30412268200a40b31294126f2406fb23","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,3.05053309701736,-0.942392779235339,5.16942106187757,6.05949988607914,2.58409340951117,2.29517353208419,0.0039300390166358,0.0137594154520882,0.544595979649137,0.000669642857142856,0.00752448156682027,"control","Song et al. 2022","Positive"
"2","3357c5f64ab94e2f61044fcca080005b","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","uncultured_Clostridiales",3.26141348364734,-1.00531391022357,5.15776722565526,6.27518223732171,2.74557931206811,2.31084393951293,0.00027407495720991,0.019112477067304,0.594564207657845,0.00044642857142857,0.00671439216521181,"control","Song et al. 2022","Positive"
"3","34942e2265fbf2f5c32c4a98cbed2d29","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,6.58501074386459,4.3696667221929,9.94139677029553,6.39452151012245,3.25770091903237,1.99839475225556,0.00027407495720991,0.0211662802899221,0.653425241433501,0,0,"control","Song et al. 2022","Positive"
"4","4c88ac342a1556e05dd786f47099f724","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,4.98309125733611,2.51553552926576,7.13901402520509,4.72540997208338,3.53503104654822,1.3646749999041,0.00394539012341145,0.0511754988433811,0.913890290321767,0.00200892857142857,0.0202108826825519,"control","Song et al. 2022","Positive"
"5","4d52bb93740e1890cd53f95e04a02caf","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor",NA,2.94401168197073,-1.13554461977574,5.20537900977067,6.21460223033818,2.8151788384355,2.1180920120776,0.00027407495720991,0.0207946506682022,0.611456977287682,0,0,"control","Song et al. 2022","Positive"
"6","57f2f2f35a7f7e07d4cc9cc0c1b3ba77","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group","unidentified",4.42192810086947,-1.22476699878241,7.87724522905259,8.65520985417405,2.54794314364339,3.27675118785756,0.00027407495720991,0.00580569855640615,0.367613762123117,0,0,"control","Song et al. 2022","Positive"
"7","6196a716834300b5ebd9079a353f3fe2","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,5.73031458251102,2.85679281402455,6.98434064655682,4.53459398125898,3.56151957678166,1.5334370429239,0.00027407495720991,0.0569789686653837,0.924213354572153,0,0,"control","Song et al. 2022","Positive"
"8","877d2f269c0098e711943433da21e87d","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,2.03922664289233,-1.20488603580019,3.89154288333113,4.84681808037508,2.61096841465304,1.92668800301166,0.00783249624898957,0.0321869826354259,0.682025843164154,0.00446428571428571,0.0447038693490921,"control","Song et al. 2022","Positive"
"9","8ca4a3bc02a3e882f405bb4ef7fd2986","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","unidentified",4.06509616246814,-0.0749208076328127,5.32324821218035,5.25783013374633,3.04810151319162,1.65239885000864,0.00027407495720991,0.0367448335415993,0.818080402740506,0.000223214285714285,0.00281444099378881,"control","Song et al. 2022","Positive"
"10","8e038f0f6d3ce68285d6f198f466b3ff","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,4.26825087039224,0.218740687027301,6.2675700303401,5.85430777457746,3.06818084840677,1.70960237260489,0.00394539012341145,0.0326681716309504,0.805678014917296,0.00111607142857142,0.0145814891435874,"control","Song et al. 2022","Positive"
"11","8f6efb85ba133ea4e08ce7fd20f307e7","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,6.39981020996197,-1.0247727976336,9.69573294413489,10.8507156215688,2.81711505818289,3.92809194081638,0.00027407495720991,0.00391439955700851,0.308710193707649,0,0,"control","Song et al. 2022","Positive"
"12","91bf6325b68c560851c01b6b093fb9b8","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,3.73707004132756,-1.10098494177501,6.96092794151244,8.1354683374169,3.52910968146422,2.27237274584663,0.00027407495720991,0.0073807593064222,0.442890265827006,0,0,"control","Song et al. 2022","Positive"
"13","9a302bd617c1f9ef092238079c666afd","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",NA,2.41433632959658,-1.29492862432705,4.36899731878172,5.35999886532171,2.54600517647374,1.94621295582769,0.00027407495720991,0.0224829153282903,0.627071457066389,0.000223214285714285,0.00294237012987012,"control","Song et al. 2022","Positive"
"14","a4ad42b6717c468b972f143f664d1100","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA,4.20063133910994,-1.34712536382376,6.83444363546308,8.05748233570609,2.59432862128052,3.07005536350892,0.00027407495720991,0.0101629562710277,0.46706382313744,0,0,"control","Song et al. 2022","Positive"
"15","b3fc3e19a30c2fd4536755ef7cea398f","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,8.91139543595082,-0.0325322489256621,10.2205569129621,10.1941818633387,5.83089773514684,1.49880697386508,0.00027407495720991,0.0467275621169646,0.939018466994295,0,0,"control","Song et al. 2022","Positive"
"16","b57239122e82e96b3878319ff2b6a0de","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,4.72620100911967,2.23738904828176,5.61585417997881,3.69839283705458,2.31019600203698,1.4941056681505,0.0078020202314993,0.054188817092649,0.840549379575688,0.0015625,0.0197239346336253,"control","Song et al. 2022","Positive"
"17","d17db7da2a8188785f9ab45be8296332","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor",NA,2.8029628149461,-0.938154414059976,5.09443969700575,6.1134035404408,2.69886625071099,2.12705028440206,0.0039300390166358,0.0182389287262116,0.565732770689992,0.000223214285714285,0.00269717261904761,"control","Song et al. 2022","Positive"
"18","d85020ad70f79998aa3b7530f52a7736","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA,3.67439438547483,-1.09494008583252,5.39667047581359,6.60149310075174,2.83301900688275,2.40244036824754,0.00027407495720991,0.009779993074107,0.500793262764707,0,0,"control","Song et al. 2022","Positive"
"19","efcc2a3c6354c0403eb7d3328456f548","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae",NA,NA,3.93672823620936,-0.0099792918881807,5.10442013744515,5.22885438049647,2.41945553665702,2.29718739294039,0.00027407495720991,0.0334107161008627,0.740935859056199,0,0,"control","Song et al. 2022","Positive"
"20","b5df6b3e09aba5b4c07aaa7690198885","d__Bacteria","Deferribacterota","Deferribacteres","Deferribacterales","Deferribacteraceae","Mucispirillum","uncultured_bacterium",5.92881495566823,7.84140098151283,4.26942394141071,-3.53986870743881,1.56106620523856,-2.0842752345909,0.00027407495720991,0.000465329087728918,0.280061068309957,0,0,"AOM/DSS_ steroid-injected","Song et al. 2022","Negative"
"21","102ebfe1ea2610313d56c3442f02c3b7","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,13.0265255158582,14.5052622872753,11.6888559342831,-2.37518730266695,1.49034697528135,-1.55950221598633,0.0429696331832703,0.000393289180702786,0.0289676402715692,0.000558469308469344,0.0293640734265753,"Fiberfree","Tashiro et al. 2020","Negative"
"22","1869a483ec54a322c6e637e32295b4ac","d__Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","uncultured","uncultured_bacterium",5.09024163497988,6.05121276713454,3.80389268708868,-2.23956344379259,1.2141826823973,-1.74635640950233,0.0253921488823485,0.000715868666769903,0.044021884786879,0.000293803418803475,0.0174894376456916,"Fiberfree","Tashiro et al. 2020","Negative"
"23","36c35a629bc9e0cea2e548fa4710d5ac","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Angelakisella","uncultured_bacterium",2.47298077762309,-2.12560200551239,5.70778916769567,7.6934493926893,2.5248776862581,3.19924097928898,0.000137056276785441,0.000325474868140774,0.0213453361194304,0.000155400155400155,0.0137011946386946,"Fiberfree","Tashiro et al. 2020","Positive"
"24","6bb6aad559c5eaeb22b2eef7874ef038","d__Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","uncultured_bacterium",2.01481922204109,-1.80561680458628,4.2521595805734,6.15962237280379,3.05765199932314,2.02161791076863,0.00391628806195076,0.000901931566606224,0.0476501462045512,0.000206390831390831,0.0156694347319347,"Fiberfree","Tashiro et al. 2020","Positive"
"25","8c29c0ac4bed029ebbeb22b3935cc8bb","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,2.11819557838681,7.02432680780926,-2.22840713319532,-9.6276929566549,3.47999628186997,-2.75182030825642,0.000137056276785441,4.79724670127066e-05,0.00470720311267986,0,0,"Fiberfree","Tashiro et al. 2020","Negative"
"26","9a7d336b07dbbc3b094bb6221ec4d367","d__Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","Adlercreutzia_muris",1.77851397333426,5.22593305617646,-2.40969289512974,-7.37209784885987,2.97921145573304,-2.36430064987477,0.000137056276785441,0.000259586599003908,0.0176301930827829,1.21406371406466e-06,0.000101981351981431,"Fiberfree","Tashiro et al. 2020","Negative"
"27","c8917eeb4d6eb75dd335ef22421ace12","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae_Sedis",NA,2.21300640269425,-2.39107556758485,7.69545496180286,9.92583189382155,3.54051114870982,3.00998613355491,0.000137056276785441,0.000119581504803738,0.0109239727115878,0.000155400155400155,0.0137011946386946,"Fiberfree","Tashiro et al. 2020","Positive"
"28","0b0494e8514853f77d926100320d2cf2","d__Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium]_coprostanoligenes_group","[Eubacterium]_coprostanoligenes_group","uncultured_bacterium",8.37372353491523,9.66067257395614,6.90988627994982,-2.6782993380167,1.83107700558688,-1.48522449186848,0.0448351493336045,0.00234231918418489,0.161773765715803,0.000505050505050543,0.0498755382349166,"control","Tashiro et al. 2020","Negative"
"29","6bb6aad559c5eaeb22b2eef7874ef038","d__Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","uncultured_bacterium",2.71187407807331,-1.53766646440759,4.7834464066752,6.15278012525594,2.69870962957634,2.31169083775001,0.000137056276785441,0.00121401148372626,0.0610881049416423,0.000157828282828282,0.0279182247150997,"control","Tashiro et al. 2020","Positive"
"30","9a7d336b07dbbc3b094bb6221ec4d367","d__Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","Adlercreutzia_muris",1.55454344514572,4.6319150462132,-2.39377262738568,-7.0929760797393,2.75760743292398,-2.52051490622297,0.00196888864670557,0.000295709079044561,0.0402544516112809,6.07031857032155e-06,0.00155309100621643,"control","Tashiro et al. 2020","Negative"
"31","a1a3200b76bcd6000a0914892d370b6e","d__Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA,1.82879385719417,-0.831510092843298,5.34523750436191,5.94967575120704,3.6778091251116,1.64368304794531,0.0350888062239466,0.00099204525101387,0.0583152688991293,0.000883838383838384,0.0489503146877673,"control","Tashiro et al. 2020","Positive"
"32","bfe54af4c9180d37a0d76f6dafe79a5a","d__Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA,5.18359958103554,3.16355250061037,6.44924439076994,3.82564085587095,2.91276278763969,1.44048529153304,0.00390865404955307,0.00423701352544859,0.505305523965582,1.57828282828371e-05,0.00450721153846323,"Pectin","Tashiro et al. 2020","Positive"
"33","cf2072e1fc3b1b13940525a48154cf87","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",NA,0.382974547806777,6.29139124216854,-0.624881295237214,-6.96609053596439,2.94668461387431,-2.24572960228569,0.00626602261985041,2.85771918037518e-06,0.00138893570041755,7.45775283797524e-05,0.0407903807081935,"Smad3-/-_healthy_SFB+_cecal","Wolfe et al. 2020","Negative"
"34","033f8780e355de102b0fd3b543b478cc","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas",NA,1.19945914415878,0.69465459724031,5.74113177040077,5.03992174473108,3.21092819700808,1.39824624380335,0.0686430878152813,2.86874534044385e-09,6.95219790006046e-07,1.11355209876744e-05,0.0142562224596075,"Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020","Positive"
"35","3eaf2c77e8c5773f6ae8ea974fc1b04e","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA,0.871650474757175,0.406366574628972,4.63289281662258,4.21014468670678,3.30938582057362,1.06690974174706,0.0842436429847791,0.00266950713546016,0.0452210290390401,7.26781385237518e-05,0.029848628616987,"Smad3-/-_CRC_SFB+_fecal","Wolfe et al. 2020","Positive"
